gia,dien tich,kieu nha,tang,phong ngu,wc,phap ly,link,duong,xa phuong thi tran,quan,tp
316,95,"Shophouse, nhà ph? thuong m?i",0,0,0,,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-phuong-an-phu-prj-the-global-city/khach-dang-can-ban-lo-dt-95m-gia-goc-40-ty-thu-ve-30-5-ty-pr39007263,D? án The Global City,Phu?ng An Phú,Qu?n 2,H? Chí Minh
850,42,Nhà riêng,2,2,2,,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-xa-nhon-duc/-dep-gia-re-khu-dan-cu-dsh-tret-lau-2-pn-2-wc-va-giao-so-pr38730977,Ðu?ng Lê Van Luong,Xã Nhon Ð?c,Nhà Bè,H? Chí Minh
980,21,Nhà riêng,2,2,1,ÐSH,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-huu-lau-xa-phuoc-kieng/ban-so-hong-dsh-o-kien-be-dtsd-42m-pr39011302,Ðu?ng Ph?m H?u L?u,Xã Phu?c Ki?n,Nhà Bè,H? Chí Minh
1500,968,Nhà m?t ph?,22,0,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-pho-phan-dang-luu-phuong-5-16/ban-toa-building-mt-5-quan-phu-nhuan-pr39024681,Ðu?ng  Phan Ðang Luu,Phu?ng 5,Phú Nhu?n,H? Chí Minh
2560,40,Nhà riêng,3,4,3,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-xa-phuoc-kieng/ban-hem-xe-hoi-toi-1419-43-5-gia-chi-2-56-ty-bot-loc-pr38948538,Ðu?ng Lê Van Luong,Xã Phu?c Ki?n,Nhà Bè,H? Chí Minh
2580,27.5,Nhà riêng,3,4,3,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-binh-hung-hoa/chu-ha-gia-cuc-soc-220-trieu-con-2-ty-580-tr-cho-can-moi-ngay-tan-pr38942422,Ðu?ng Lê Tr?ng T?n,Phu?ng Tây Th?nh,Tân Phú,H? Chí Minh
2650,18,Nhà riêng,3,2,3,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-khoi-phuong-8-12/ban-pho-mini-p8-go-vap-dt-3-x-6-1-tret-2laugom-pk-bep-2pn-3wc-pr39018020,Ðu?ng Nguy?n Van Kh?i,Phu?ng 8,Gò V?p,H? Chí Minh
2950,55,Nhà riêng,1,2,3,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-khuong-phuong-hiep-thanh-3/ban-q12-dt-5x11-duc-1-tam-gom-pk-bep-2pn-3wc-hem-xe-hoi-gia-2ty950-pr38958486,Ðu?ng Lê Van Khuong,Phu?ng Hi?p Thành,Qu?n 12,H? Chí Minh
2960,25,Nhà riêng,2,3,1,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-go-xoai-phuong-binh-hung-hoa-a/ban-gap-1-tret-1-lau-hem-xe-hoi-ngay-gia-1-ty-775-60-pr39006569,Ðu?ng Gò Xoài,Phu?ng Bình Hung Hòa A,Bình Tân,H? Chí Minh
3000,35,Nhà riêng,2,2,2,S? h?ng chung.,https://batdongsan.com.vn/ban-nha-rieng-duong-tay-lan-phuong-binh-tri-dong-a/ban-35m-chinh-chu-tai-quan-tan-dep-lung-linh-gia-re-don-vao-o-ngay-pr38656352,131/6/1/17B Ðu?ng Tây Lân,Phu?ng Bình Tr? Ðông A,Bình Tân,H? Chí Minh
3260,79.5,Nhà riêng,3,4,3,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-dong-phuong-3-20/ban-gap-gan-sat-mat-tien-80m2-gia-3ty260-pr39017492,Ðu?ng Ph?m Van Ð?ng,Phu?ng 3,Gò V?p,H? Chí Minh
3490,30,Nhà riêng,1,2,2,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-quang-trung-phuong-11-8/-dep-gia-re-hon-3-ty-ngay-tam-f11-go-vap-dt-5-x-6-duc-1-tam-pr39017983,Ðu?ng Quang Trung,Phu?ng 11,Gò V?p,H? Chí Minh
3690,40,Nhà riêng,2,2,2,,https://batdongsan.com.vn/ban-nha-rieng-phuong-15-6/-moi-dep-don-vao-an-tet-lien-he-ngay-cc-pr39005479,,Phu?ng 15,Gò V?p,H? Chí Minh
5200,120,Nhà m?t ph?,1,1,1,Ti?,https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-van-khuong-xa-dong-thanh/-tien-hoc-mon-dan-cu-hien-huu-62m-tho-cu-chi-5ty2-qua-re-pr38802428,Ðu?ng Lê Van Khuong,Xã  Ðông Th?nh,Hóc Môn,H? Chí Minh
5250,25.2,Nhà riêng,5,4,4,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-cao-thang-phuong-17-3/ban-chinh-chu-full-noi-that-cap-vao-o-ngay-pr39016707,73 Ðu?ng Cao Th?ng,Phu?ng 17,Phú Nhu?n,H? Chí Minh
5350,40.5,Nhà riêng,3,3,4,S? H?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-huy-ich-phuong-14-8/can-tien-ban-gap-pho-dep-2-lau-tang-full-noi-that-pr38910693,Ðu?ng Phan Huy Ích,Phu?ng 14,Gò V?p,H? Chí Minh
5380,56.7,Nhà riêng,3,3,3,,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-tho-phuong-8-12/ban-56-7m2-3-tang-sat-cong-vien-lang-hoa-go-vap-pr39024233,Ðu?ng Lê Van Th?,Phu?ng 8,Gò V?p,H? Chí Minh
5450,60,Nhà riêng,3,5,6,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-huong-lo-2-phuong-binh-tri-dong-a/ban-tan-co-noi-that-4m-x-15m-nhua-8m-khu-dan-cu-dan-cao-pr39017738,Ðu?ng Huong l? 2,Phu?ng Bình Tr? Ðông A,Bình Tân,H? Chí Minh.
5800,100,"Nhà bi?t th?, li?n k?",3,4,4,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-duy-trinh-phuong-truong-thanh-prj-khu-do-thi-moi-dong-tang-long/chu-gui-ban-gap-8-can-kdt-quan-9-gia-chi-5-8ty-100m2-160m2-200m2-400m2-pr38709744,Ðu?ng Nguy?n Duy Trinh,Phu?ng Tru?ng Th?nh,Qu?n 9,H? Chí Minh
5950,65,Nhà riêng,2,3,4,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-duy-cung-phuong-12-8/-pho-1-truc-f12-go-vap-dt-5-x-13-duc-kien-co-1-tret-2-lau-pr38877366,Ðu?ng Nguy?n Duy Cung,Phu?ng 12,Gò V?p,H? Chí Minh
6200,168,"Shophouse, nhà ph? thuong m?i",2,1,1,Ðang ch? s?,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-1-phuong-truong-tho-2-prj-lavita-charm/can-tien-di-nuoc-ngoai-ban-gap-lo-can-view-noi-khu-tm17-gia-6-2-ty-pr38229055,Ðu?ng 1,Phu?ng Tru?ng Th?,Th? Ð?c,H? Chí Minh
6300,72,Nhà riêng,5,5,6,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-hoa-dong-phuong-binh-tri-dong/ban-mtkd-dt-4m-x-18m-lo-nhua-8m-thong-1-lung-3-lau-gara-xe-hoi-trong-pr38932533,Ðu?ng Tân Hòa Ðông,Phu?ng Bình Tr? Ðông,Bình Tân,H? Chí Minh
