gia,dientich,kieunha,tang,phongngu,phongwc,phaply,linkweb,duong,xa,quan,thanhpho
2560.0,40.0,Nhà riêng,3,4,3,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-xa-phuoc-kieng/ban-hem-xe-hoi-toi-1419-43-5-gia-chi-2-56-ty-bot-loc-pr38948538,Đường Lê Văn Lương,Xã Phước Kiển,Nhà Bè,Hồ Chí Minh
2580.0,27.5,Nhà riêng,3,4,3,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-binh-hung-hoa/chu-ha-gia-cuc-soc-220-trieu-con-2-ty-580-tr-cho-can-moi-ngay-tan-pr38942422,Đường Lê Trọng Tấn,Phường Tây Thạnh,Tân Phú,Hồ Chí Minh
33000.0,200.0,"Nhà biệt thự, liền kề",3,0,0,Sổ đỏ,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-thanh-my-prj-vinhomes-grand-park/ban-song-lap-q9-dt-200m2-huong-dong-nam-gia-34-ty-pr36310905,Dự án Vinhomes Grand Park,Phường Long Thạnh Mỹ,Quận 9,Hồ Chí Minh
14500.0,267.4,Nhà riêng,1,1,1,Có sổ,https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-tay-thanh/chinh-chu-ban-phu-hem-lon-dien-tich-267-4m2-pr38938867,Đường Lê Trọng Tấn,Phường Tây Thạnh,Tân Phú,Hồ Chí Minh
3950.0,40.0,Nhà riêng,4,3,4,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-dong-phuong-13-7/ban-4tang-giam-950tr-con-3-9ty-40m2-hem-xe-hoi-pr39030643,Đường Phạm Văn Đồng,Phường 13,Bình Thạnh,Hồ Chí Minh
12000.0,70.0,Nhà riêng,4,4,5,,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-sy-phuong-14-1/ban-4-tang-70m2-ngang-5x14m-quan-3-chu-gap-ban-pr39030596,Đường Lê Văn Sỹ,Phường 14,Quận 3,Hồ Chí Minh
11500.0,207.0,Nhà mặt phố,2,17,17,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-9-7-phuong-linh-xuan/chu-rat-ngop-nen-re-den-vay-11-5-ty-207-m2-9-x-23-tien-so-9-p-tp-thu-duc-pr39030466,Đường 9,Phường Linh Xuân,Thủ Đức,Hồ Chí Minh
4800.0,60.8,Nhà riêng,3,3,4,,https://batdongsan.com.vn/ban-nha-rieng-duong-11-1-phuong-binh-hung-hoa/ban-lo-hem-o-to-so-11-p-bhh-tan-1-tret-2-lau-3pn-4-toilet-pr38984012,160/9/18 Đường 11,Phường Bình Hưng Hòa,Bình Tân,Hồ Chí Minh
4650.0,84.0,Nhà mặt phố,3,4,2,Đã có sổ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-duong-cong-khi-xa-xuan-thoi-son/-2-lau-san-thuong-4-phong-ngu-mt-gan-nga-3-giong-hoc-mon-pr38716249,Đường Dương Công Khi,Xã Xuân Thới Sơn,Hóc Môn,Hồ Chí Minh
60000.0,160.0,"Nhà biệt thự, liền kề",4,0,0,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-3-2-2-phuong-12-5-prj-hado-centrosa-garden/can-ban-villa-compound-goc-2mt-du-an-quan-10-dt-10x16m-1-tret-3-lau-gia-60-ty-pr38922774,Đường 3/2,Phường 12,Quận 10,Hồ Chí Minh
