gia,dientich,rong,dai,kieunha,phuong, quan,bedroom,bathroom,phaply,ngaydang,masobds,linkweb
90,90,12,7,"mặt tiền, phố", Phường 3, Quận 3,2,2,Sổ hồng,21/01/2024,22464611,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/cho-thue-goc-2-mat-tien-cao-thang-quan-3-12m-x-8m-3-tang-gia-90tr-id22464611
110,100,11,3,"hẻm, ngõ", Phường 6, Quận 10,4,4,Hợp đồng mua bán,21/01/2024,22473177,https://mogi.vn/quan-10/mua-nha-hem-ngo/ban-hdkd-can-ho-dich-vu-quan-10-id22473177
157,1050,50,25,"Biệt thự, liền kề", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),2,2,Sổ hồng,21/01/2024,21787734,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-sieu-villa-dep-1050m2-ho-boi-san-vuon-p-thao-dien-150tr-m2-id21787734
1260,55,12.3,4.5,"hẻm, ngõ", Phường 10, Quận Phú Nhuận,3,3,Sổ hồng,21/01/2024,22461495,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/thua-lo-chu-ng-khoa-n-ba-n-nha-le-van-sy-tan-bi-nh-56m2-1ty270-shr-id22461495
1700,60,14,5,"hẻm, ngõ", Xã Đông Thạnh, Huyện Hóc Môn,3,1,Hợp đồng mua bán,21/01/2024,22429509,https://mogi.vn/huyen-hoc-mon/mua-nha-hem-ngo/nha-dien-tich-dep-gia-co-1-ty-7-dt2-dong-thanh-hoc-mon-tp-hcm-id22429509
1800,38,6,5,"mặt tiền, phố", Phường An Lạc, Quận Bình Tân,1,1,Hợp đồng mua bán,21/01/2024,22346745,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/bang-gia-chinh-sach-uu-dai-the-privia-khang-dien-moi-nhat-id22346745
1850,18,6,3,"hẻm, ngõ", Phường 15, Quận 10,1,1,Sổ hồng,21/01/2024,22307062,https://mogi.vn/quan-10/mua-nha-hem-ngo/ban-gap-nha-nho-cach-mang-thang-tam-id22307062
2050,12,4,3,"hẻm, ngõ", Phường 21, Quận Bình Thạnh,2,2,Sổ hồng,21/01/2024,22433736,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-phuong-21-quan-binh-thanh-xo-viet-nghe-tinh-1-tret-3-lau-id22433736
2150,11,6,3,"hẻm, ngõ", Phường Tân Định, Quận 1,3,2,Sổ hồng,21/01/2024,22417757,https://mogi.vn/quan-1/mua-nha-hem-ngo/ban-nha-phuong-tan-dinh-quan-1-tran-quang-khai-nha-3-lau-id22417757
2250,30,10,3,"mặt tiền, phố", Phường Bình Trị Đông, Quận Bình Tân,3,3,Sổ hồng,21/01/2024,22382976,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/ban-nha-hxh-duong-tinh-lo-10-binh-tan-id22382976
2300,30,10,3,"mặt tiền, phố", Phường Bình Trị Đông, Quận Bình Tân,3,4,Giấy tờ hợp lệ,21/01/2024,22360167,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/nha-5-tang-huong-lo-2-chi-co-2ty3-id22360167
2600,24,7,3,"hẻm, ngõ", Phường 10, Quận 3,2,2,Sổ hồng,21/01/2024,22238212,https://mogi.vn/quan-3/mua-nha-hem-ngo/ban-gap-nha-nho-xinh-cach-mang-thang-8-id22238212
2600,34,8.5,4,"hẻm, ngõ", Phường 10, Quận 10,2,2,Sổ hồng,21/01/2024,22293262,https://mogi.vn/quan-10/mua-nha-hem-ngo/chi-76-tr-m2-so-huu-ngay-ho-khau-q-10-3-thang-2-34-44m2-ngang-4m-id22293262
2800,22,8,3,"hẻm, ngõ", Phường 10, Quận 3,3,3,Sổ hồng,21/01/2024,22365680,https://mogi.vn/quan-3/mua-nha-hem-ngo/ban-gap-nha-cach-mang-thang-tam-quan-3-id22365680
2800,30,10,3,"hẻm, ngõ", Phường 10, Quận 3,3,3,Sổ hồng,21/01/2024,22301069,https://mogi.vn/quan-3/mua-nha-hem-ngo/ban-gap-nha-cach-mang-thang-tam-quan-3-id22301069
2850,40,10,4,"hẻm, ngõ", Phường Sơn Kỳ, Quận Tân Phú,2,2,Sổ hồng,21/01/2024,22415856,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/nha-o-lien-co-cho-dau-o-to-doi-dien-c-c-celadon-2-85-ty-id22415856
2850,48,12,4,"hẻm, ngõ", Phường Bình Hưng Hòa B, Quận Bình Tân,2,2,Sổ hồng,21/01/2024,22432881,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/binh-tan-duong-lien-khu-4-5-48m2-4-x-12-2-tang-btct-gia-re-id22432881
2850,58,15,4,"hẻm, ngõ", Xã Thới Tam Thôn, Huyện Hóc Môn,3,1,Sổ hồng,21/01/2024,22469228,https://mogi.vn/huyen-hoc-mon/mua-nha-hem-ngo/nha-tret-lung-4x15m-hem-nguyen-thi-ngau-ap-trung-dong-x-thoi-tam-thon-id22469228
2900,24,6,4,"hẻm, ngõ", Phường 13, Quận 10,1,1,Sổ hồng,21/01/2024,22390278,https://mogi.vn/quan-10/mua-nha-hem-ngo/ban-gap-nha-to-hien-thanh-quan-10-id22390278
2950,30,10,3,đường nội bộ, Phường 12, Quận Gò Vấp,2,2,Sổ hồng,21/01/2024,22183964,https://mogi.vn/quan-go-vap/mua-duong-noi-bo/ban-gap-nha-dep-gia-re-quang-trung-gv-30m2-2-tang-duoi-3-ty-id22183964
2980,41,10.3,4,"hẻm, ngõ", Phường Bình Hưng Hòa, Quận Bình Tân,1,1,Sổ hồng,21/01/2024,22467528,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/316bta1-nhinh-2ty-ban-nha-hxh-ngu6m-binh-hung-hoa-binh-tan-4x11vuong-id22467528
3000,28,7.2,4,"hẻm, ngõ", Phường 12, Quận Gò Vấp,2,2,Sổ hồng,21/01/2024,22400050,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-moi-keng-hxh-thong-phan-huy-ich-gv-28m2-2-tang-nhinh-3-ty-id22400050
3000,28,8,3.5,"hẻm, ngõ", Phường 12, Quận Gò Vấp,2,2,Sổ hồng,21/01/2024,22456429,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-phan-huy-ich-hem-xh-28m2-2-tang-btct-gia-3-ty-hon-xiu-id22456429
3000,28,8.5,3.4,"hẻm, ngõ", Phường 16, Quận Gò Vấp,2,2,Sổ hồng,21/01/2024,22400055,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-moi-keng-le-duc-tho-gv-28m2-2-tang-gia-3-ty-hon-xiu-id22400055
3000,45,10,4.5,"mặt tiền, phố", Phường Thạnh Lộc, Quận 12,2,2,Sổ hồng,21/01/2024,22185760,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/nha-dep-dt-lon-45m2-ha-huy-giap-p-thanh-loc-q12-nhinh-3-ty-id22185760
3000,45,11.5,4,"hẻm, ngõ", Phường 11, Quận Gò Vấp,2,3,Sổ hồng,21/01/2024,22315003,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ket-tien-4-ty-giam-con-3-5-ty-46-m2-2-tang-btct-thong-nhat-p11-gv-id22315003
3000,52,10,4,"hẻm, ngõ", Phường Thạnh Lộc, Quận 12,3,2,Sổ đỏ,21/01/2024,22463348,https://mogi.vn/quan-12/mua-nha-hem-ngo/gap-ban-nha-2-tang-4-x-13-3-ty-x-thanh-loc-quan-12-tphcm-id22463348
3000,58,10.5,5.5,"hẻm, ngõ", Phường Trung Mỹ Tây, Quận 12,2,2,Sổ hồng,21/01/2024,22311627,https://mogi.vn/quan-12/mua-nha-hem-ngo/ban-nha-dep-to-ky-q12-58m2-o-to-do-cua-2-tang-btct-chi-3-ty-hon-xiu-id22311627
3000,96,22,3.8,"hẻm, ngõ", Phường Thới An, Quận 12,4,3,Sổ đỏ,21/01/2024,22466342,https://mogi.vn/quan-12/mua-nha-hem-ngo/keo-thom-96m2-nha-3-tang-3-6-ty-thoi-an-quan-12-tphcm-id22466342
3100,17,3,3,"mặt tiền, phố", Phường 11, Quận 3,2,2,Sổ hồng,21/01/2024,21946293,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-tran-van-dang-quan-3-id21946293
3150,45,10,4.1,"hẻm, ngõ", Phường 15, Quận Tân Bình,2,2,Sổ hồng,21/01/2024,22186083,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/chinh-chu-ban-nha-nguyen-sy-sach-p15-tb-42m2-chi-duoi-3-ty-2-id22186083
3190,24,8,3,"hẻm, ngõ", Phường 11, Quận Bình Thạnh,3,3,Sổ hồng,21/01/2024,22445035,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/nguyen-van-dau-3-tang-btct-24m2-3-pn-tien-sua-chua-nhinh-3-ty-id22445035
